length,niah_single_1,niah_single_2,niah_single_3,niah_multikey_1,niah_multikey_2,niah_multikey_3,niah_multivalue,niah_multiquery,vt,cwe,fwe,qa_1,qa_2,overall,avg_prefill_attention_kernel_ms,avg_decode_attention_kernel_ms_per_token
4k,100,100,98.6,100,99.8,99.6,99.3,100,99.92,79.54,88.53,85.2,62.2,93.2838,44.42885323076928,3.727875401006838
8k,100,100,99.4,100,100,97.4,99.15,99.95,99.92,86.18,85.13,80.2,61,92.9485,174.3796247692307,6.310232906280301
16k,100,100,99.6,100,99.8,95.6,98.55,99.85,99.72,79.12,94.87,78.4,60.6,92.7777,669.9189172307692,10.579362262231426
