length,niah_single_1,niah_single_2,niah_single_3,niah_multikey_1,niah_multikey_2,niah_multikey_3,niah_multivalue,niah_multiquery,vt,cwe,fwe,qa_1,qa_2,overall,avg_prefill_attention_kernel_ms,avg_decode_attention_kernel_ms_per_token
4k,100,100,100,99.6,100,99.4,99.7,100,99.64,99.6,91.27,75.2,54,93.7238,47.71933030769229,1.4567911020489377
8k,100,100,100,99.2,99.8,99.6,99.8,99.85,99.76,97.78,86.53,61.4,53.4,92.0862,178.74476199999984,2.5504400545602075
16k,100,100,100,97.8,99.2,98.8,99.3,99.15,99.96,92.9,95.13,55.4,47.2,91.1415,719.6991075384615,4.557894667140521
